Observations,,,,,,Validation Observations,,,,
STOP,GP010953,14,,,,RIGHT SEEP,GP011008,GOPR1008,27,
GO,,,,,,RIGHT SEEP,,,,
STOP,,,,,,RIGHT SEEP,,,,
GO,,,,,,1-RIGHT,,,,
1-LEFT,,,,,,1-LEFT,,,,
STOP,,,,,,1-LEFT,,,,
GO,,,,,,LEFT SEEP,,,,
STOP,,,,,,STOP,,,,
GO,,,,,,GO,,,,
STOP,,,,,,1-LEFT,,,,
GO,,,,,,1-RIGHT,,,,
STOP,,,,,,RIGHT SEEP,,,,
GO,,,,,,1-LEFT,,,,
1-RIGHT,,,,,,1-RIGHT,,,,
1-LEFT,GOPR0966,11,,,,RIGHT SEEP,,,,
1-LEFT,,,,,,1-LEFT,,,,
STOP,,,,,,1-LEFT,,,,
GO,,,,,,LEFT SEEP,,,,
LEFT SEEP,,,,,,1-LEFT,,,,
1-RIGHT,,,,,,1-LEFT,,,,
LEFT SEEP,,,,,,1-LEFT,,,,
RIGHT SEEP,,,,,,1-RIGHT,,,,
STOP,,,,,,RIGHT SEEP,,,,
GO,,,,,,RIGHT SEEP,,,,
RIGHT SEEP,,,,,,RIGHT SEEP,,,,
LEFT SEEP,GOPR9677,28,,,,STOP,,,,
1-RIGHT,,,,,,GO,,,,
1-RIGHT,,,,,,1-LEFT,GP020972,GP010972,GOPR0972,84
1-LEFT,,,,,,LEFT SEEP,,,,
1-RIGHT,,,,,,1-LEFT,,,,
1-LEFT,,,,,,1-RIGHT,,,,
1-RIGHT,,,,,,1-LEFT,,,,
1-LEFT,,,,,,1-RIGHT,,,,
RIGHT SEEP,,,,,,1-LEFT,,,,
STOP,,,,,,STOP,,,,
GO,,,,,,GO,,,,
1-RIGHT,,,,,,1-RIGHT,,,,
STOP,,,,,,1-RIGHT,,,,
GO,,,,,,STOP,,,,
1-LEFT,,,,,,LEFT SEEP,,,,
1-RIGHT,,,,,,1-LEFT,,,,
1-LEFT,,,,,,RIGHT SEEP,,,,
1-RIGHT,,,,,,STOP,,,,
1-RIGHT,,,,,,GO,,,,
1-RIGHT,,,,,,STOP,,,,
1-LEFT,,,,,,GO,,,,
RIGHT SEEP,,,,,,1-LEFT,,,,
RIGHT SEEP,,,,,,1-LEFT,,,,
STOP,,,,,,1-LEFT,,,,
GO,,,,,,1-RIGHT,,,,
1-LEFT,,,,,,RIGHT SEEP,,,,
1-RIGHT,,,,,,1-RIGHT,,,,
1-RIGHT,,,,,,1-RIGHT,,,,
1-LEFT,GOPR9680,43,,,,1-RIGHT,,,,
1-LEFT,,,,,,RIGHT SEEP,,,,
LEFT SEEP,,,,,,1-LEFT,,,,
1-RIGHT,,,,,,STOP,,,,
1-RIGHT,,,,,,GO,,,,
1-LEFT,,,,,,1-LEFT,,,,
1-RIGHT,,,,,,1-RIGHT,,,,
STOP,,,,,,1-RIGHT,,,,
GO,,,,,,RIGHT SEEP,,,,
1-RIGHT,,,,,,1-LEFT,,,,
LEFT SEEP,,,,,,RIGHT SEEP,,,,
1-LEFT,,,,,,1-RIGHT,,,,
RIGHT SEEP,,,,,,1-LEFT,,,,
1-RIGHT,,,,,,1-RIGHT,,,,
RIGHT SEEP,,,,,,RIGHT SEEP,,,,
1-LEFT,,,,,,STOP,,,,
1-LEFT,,,,,,GO,,,,
1-LEFT,,,,,,1-LEFT,,,,
LEFT SEEP,,,,,,1-RIGHT,,,,
RIGHT SEEP,,,,,,1-RIGHT,,,,
1-RIGHT,,,,,,1-RIGHT,,,,
1-RIGHT,,,,,,1-LEFT,,,,
1-LEFT,,,,,,RIGHT SEEP,,,,
1-RIGHT,,,,,,STOP,,,,
1-LEFT,,,,,,GO,,,,
1-RIGHT,,,,,,STOP,,,,
LEFT SEEP,,,,,,GO,,,,
LEFT SEEP,,,,,,1-LEFT,,,,
1-RIGHT,,,,,,LEFT SEEP,,,,
1-RIGHT,,,,,,1-RIGHT,,,,
1-LEFT,,,,,,RIGHT SEEP,,,,
1-LEFT,,,,,,1-RIGHT,,,,
1-RIGHT,,,,,,1-RIGHT,,,,
1-LEFT,,,,,,1-LEFT,,,,
1-RIGHT,,,,,,1-RIGHT,,,,
1-RIGHT,,,,,,LEFT SEEP,,,,
1-LEFT,,,,,,RIGHT SEEP,,,,
1-LEFT,,,,,,1-RIGHT,,,,
RIGHT SEEP,,,,,,1-RIGHT,,,,
1-LEFT,,,,,,STOP,,,,
1-RIGHT,,,,,,GO,,,,
1-RIGHT,,,,,,1-LEFT,,,,
1-RIGHT,,,,,,1-RIGHT,,,,
STOP,GOPR9686,46,,,,1-LEFT,,,,
GO,,,,,,1-RIGHT,,,,
1-LEFT,,,,,,RIGHT SEEP,,,,
RIGHT SEEP,,,,,,1-LEFT,,,,
LEFT SEEP,,,,,,1-RIGHT,,,,
STOP,,,,,,STOP,,,,
GO,,,,,,GO,,,,
STOP,,,,,,1-LEFT,,,,
GO,,,,,,STOP,,,,
LEFT SEEP,,,,,,GO,,,,
RIGHT SEEP,,,,,,LEFT SEEP,,,,
RIGHT SEEP,,,,,,RIGHT SEEP,,,,
1-LEFT,,,,,,STOP,,,,
1-LEFT,,,,,,GO,,,,
RIGHT SEEP,,,,,,1-LEFT,,,,
1-LEFT,,,,,,1-RIGHT,GP020981,GP010981,GOPR0981 ,110
1-RIGHT,,,,,,RIGHT SEEP,,,,
1-RIGHT,,,,,,1-LEFT,,,,
RIGHT SEEP,,,,,,1-LEFT,,,,
STOP,,,,,,1-RIGHT,,,,
GO,,,,,,1-LEFT,,,,
1-LEFT,,,,,,1-RIGHT,,,,
1-LEFT,,,,,,RIGHT SEEP,,,,
1-LEFT,,,,,,1-LEFT,,,,
1-RIGHT,,,,,,1-RIGHT,,,,
1-LEFT,,,,,,1-LEFT,,,,
1-LEFT,,,,,,1-RIGHT,,,,
1-RIGHT,,,,,,STOP,,,,
1-RIGHT,,,,,,GO,,,,
1-RIGHT,,,,,,1-LEFT,,,,
LEFT SEEP,,,,,,1-RIGHT,,,,
LEFT SEEP,,,,,,1-LEFT,,,,
RIGHT SEEP,,,,,,LEFT SEEP,,,,
RIGHT SEEP,,,,,,1-RIGHT,,,,
LEFT SEEP,,,,,,LEFT SEEP,,,,
1-RIGHT,,,,,,LEFT SEEP,,,,
RIGHT SEEP,,,,,,STOP,,,,
1-LEFT,,,,,,GO,,,,
1-LEFT,,,,,,1-RIGHT,,,,
1-RIGHT,,,,,,RIGHT SEEP,,,,
1-LEFT,,,,,,1-RIGHT,,,,
1-RIGHT,,,,,,LEFT SEEP,,,,
STOP,,,,,,1-RIGHT,,,,
GO,,,,,,STOP,,,,
LEFT SEEP,,,,,,1-LEFT,,,,
RIGHT SEEP,,,,,,1-LEFT,,,,
STOP,GOPR0960,GP010960,37,,,STOP,,,,
GO,,,,,,GO,,,,
LEFT SEEP,,,,,,STOP,,,,
RIGHT SEEP,,,,,,GO,,,,
STOP,,,,,,RIGHT SEEP,,,,
GO,,,,,,RIGHT SEEP,,,,
1-LEFT,,,,,,STOP,,,,
STOP,,,,,,GO,,,,
GO,,,,,,1-LEFT,,,,
1-LEFT,,,,,,1-RIGHT,,,,
LEFT SEEP,,,,,,1-RIGHT,,,,
LEFT SEEP,,,,,,1-LEFT,,,,
STOP,,,,,,1-RIGHT,,,,
